entidad,nom_ent,mun,nom_mun,loc,nom_loc,latitud,longitud,altitud,tamloc,pobtot,pob0_14,pob15_64,pob65_mas,vivtot,tvivparhab,vph_aguadv,vph_aguafv,vph_tinaco,vph_cister,vph_drenaj,vph_nodren,vph_c_serv,vph_excsa,cve_alcaldia
9,Ciudad de México,008,La Magdalena Contreras,83,El Gavillero,19.28702527777778,-99.24912027777778,2604,2.0,452,122.0,311.0,19.0,126,116.0,13.0,103.0,86.0,18.0,0.0,116.0,0.0,96.0,008
9,Ciudad de México,008,La Magdalena Contreras,85,El Ocotal (La Carbonera),19.29385416666667,-99.26261138888889,2726,1.0,23,2.0,18.0,3.0,12,12.0,11.0,1.0,3.0,1.0,12.0,0.0,10.0,8.0,008
9,Ciudad de México,008,La Magdalena Contreras,88,Totolapan,19.280696666666667,-99.24602,2622,2.0,334,88.0,235.0,11.0,93,88.0,75.0,13.0,81.0,11.0,88.0,0.0,75.0,87.0,008
9,Ciudad de México,008,La Magdalena Contreras,101,Ocotenco (La Loma Cazulco),19.292886666666668,-99.2544136111111,2658,1.0,15,0.0,12.0,3.0,14,14.0,14.0,0.0,11.0,0.0,14.0,0.0,11.0,14.0,008
9,Ciudad de México,008,La Magdalena Contreras,104,Rancho Viejo,19.25824,-99.25031972222222,2842,1.0,67,26.0,40.0,1.0,18,14.0,12.0,1.0,8.0,3.0,12.0,1.0,12.0,13.0,008
9,Ciudad de México,008,La Magdalena Contreras,106,Prolongación Ermitaño,19.300858611111114,-99.26732305555555,2740,1.0,37,11.0,25.0,1.0,14,9.0,8.0,1.0,5.0,2.0,9.0,0.0,8.0,8.0,008
9,Ciudad de México,008,La Magdalena Contreras,108,Rincón Eslava,19.28969277777778,-99.251075,2554,1.0,51,13.0,36.0,2.0,21,13.0,10.0,3.0,13.0,3.0,12.0,1.0,10.0,12.0,008
9,Ciudad de México,008,La Magdalena Contreras,111,Rancho Chichicaspa,19.276578055555554,-99.24591222222222,2594,1.0,29,5.0,20.0,4.0,8,7.0,7.0,0.0,6.0,2.0,7.0,0.0,7.0,6.0,008
9,Ciudad de México,008,La Magdalena Contreras,112,Paraje Chichicaspa,19.275787777777776,-99.24998416666666,2597,1.0,119,30.0,86.0,3.0,49,34.0,33.0,1.0,26.0,11.0,34.0,0.0,32.0,33.0,008
9,Ciudad de México,009,Milpa Alta,1,Villa Milpa Alta,19.191249444444445,-99.02337194444445,2429,8.0,18213,3875.0,12534.0,1804.0,5206,4621.0,4541.0,69.0,3904.0,605.0,4561.0,49.0,4496.0,4523.0,009
9,Ciudad de México,009,Milpa Alta,11,San Antonio Tecómitl,19.21753722222222,-98.99371777777777,2257,8.0,27768,6322.0,19455.0,1991.0,8123,7221.0,6951.0,261.0,6538.0,1601.0,7180.0,32.0,6924.0,7142.0,009
9,Ciudad de México,009,Milpa Alta,15,San Bartolomé Xicomulco,19.206759444444444,-99.0678925,2593,5.0,4933,1114.0,3408.0,411.0,1522,1331.0,1312.0,16.0,1203.0,517.0,1321.0,7.0,1307.0,1319.0,009
9,Ciudad de México,009,Milpa Alta,17,San Francisco Tecoxpa,19.199448333333333,-99.00628694444444,2308,7.0,13919,3295.0,9680.0,937.0,4105,3613.0,3518.0,84.0,2979.0,473.0,3529.0,73.0,3459.0,3509.0,009
9,Ciudad de México,009,Milpa Alta,24,San Pablo Oztotepec,19.187285,-99.07314916666667,2715,8.0,17715,4401.0,12081.0,1233.0,5116,4488.0,4146.0,336.0,4024.0,915.0,4462.0,20.0,4131.0,4415.0,009
9,Ciudad de México,009,Milpa Alta,29,San Pedro Atocpan,19.20163722222222,-99.04941083333333,2447,6.0,9234,2095.0,6412.0,727.0,2620,2342.0,2256.0,76.0,1885.0,583.0,2291.0,41.0,2223.0,2279.0,009
9,Ciudad de México,009,Milpa Alta,33,San Salvador Cuauhtenco,19.191988333333335,-99.08995416666666,2753,8.0,16847,4021.0,11787.0,1032.0,4738,4233.0,3585.0,645.0,3836.0,1442.0,4192.0,38.0,3567.0,4141.0,009
9,Ciudad de México,009,Milpa Alta,36,Santa Ana Tlacotenco,19.175910555555557,-98.99780083333333,2612,7.0,11715,2693.0,8053.0,969.0,3446,3030.0,2977.0,49.0,2696.0,559.0,2987.0,39.0,2945.0,2937.0,009
9,Ciudad de México,009,Milpa Alta,37,Cruztitla,19.21488611111111,-99.00350277777778,2308,4.0,1123,303.0,778.0,42.0,321,278.0,133.0,145.0,230.0,107.0,256.0,22.0,130.0,259.0,009
9,Ciudad de México,009,Milpa Alta,45,Los Pinos (Totulan),19.18355111111111,-99.03512333333333,2572,1.0,57,11.0,44.0,2.0,19,17.0,17.0,0.0,17.0,0.0,17.0,0.0,17.0,17.0,009
