columna,pct_nulos,accion
FENOL,100.0,DROP
FENOLES_TOT,100.0,DROP
FENSULFOTION,100.0,DROP
FENTION,100.0,DROP
FLUORUROS_TOT,95.21,DROP
FORATO,100.0,DROP
GLIFOSATO,100.0,DROP
GRAS_ACEI,97.87,DROP
H_HELMINTOS,100.0,DROP
HEPTA_EPOX,100.0,DROP
HEPTACLOR,100.0,DROP
HEXACL_BENC,100.0,DROP
HEXACL_BUT,100.0,DROP
HEXACL_CICLOPEN,100.0,DROP
HEXACL_ETANO,100.0,DROP
ISO_FOR,100.0,DROP
ISOPROTURON,100.0,DROP
K_TOT,95.21,DROP
LINURON,100.0,DROP
MALATION,100.0,DROP
MAT_FLOTANTE,100.0,DROP
MCPA,100.0,DROP
MERFOS,100.0,DROP
METIL_AZINF_GUT,100.0,DROP
METILPARATION,100.0,DROP
METILTERBUTILETER_MTBE_,96.28,DROP
METOLACLOR,100.0,DROP
METOXICLO,100.0,DROP
MEVINFOS,100.0,DROP
MIREX,100.0,DROP
MN_TOT,92.55,FLAG
MO_TOT,100.0,DROP
MOLINATO,100.0,DROP
N_NITROS_DIMETILA,100.0,DROP
N_NITROS_N_PROPAM,100.0,DROP
N_NITROSODIFENILAMINA,100.0,DROP
NA_TOT,95.21,DROP
NITROBENCENO,100.0,DROP
OXAMIL,100.0,DROP
PARATION,100.0,DROP
PCBEN,100.0,DROP
PENDIMETALIN,100.0,DROP
PENTACLOROFENOL,100.0,DROP
PICLORAN,100.0,DROP
PIRYPROXYFEN,100.0,DROP
RONNEL,100.0,DROP
SAAM,42.02,FLAG
SB_TOT,100.0,DROP
SE_TOT,100.0,DROP
SILVEX,100.0,DROP
SIMAZINA,100.0,DROP
SIO2,95.48,DROP
SO4_TOT,91.49,FLAG
SOLID_SED,100.0,DROP
SST,7.18,IMPUTE
SULFOTEP,100.0,DROP
SULFUROS_TOT,100.0,DROP
TALIO,99.47,DROP
TERBUFOS,100.0,DROP
TERBUTILAZINA,100.0,DROP
TETRACL_CARB,96.01,DROP
TETRACLOROETILENO_,96.28,DROP
