clave_sitio,clave_de_monitoreo,nombre_del_sitio,tipo_cuerpo_de_agua,fecha_realización,año,alc_fen,alc_tot,co3,hco3,clorof_a,coli_fec,coli_tot,e_coli,cot,cot_sol,dbo_sol,dbo_tot,dqo_sol,dqo_tot,n_nh3,n_no2,n_no3,n_org,n_tot,n_totk,tox_d_48_ut,tox_d_48_sup_ut,tox_d_48_fon_ut,tox_fis_sup_15_ut,tox_fis_sup_30_ut,tox_fis_sup_5_ut,tox_fis_fon_15_ut,tox_fis_fon_30_ut,tox_fis_fon_5_ut,tox_v_15_ut,tox_v_30_ut,tox_v_5_ut,p_tot,po4_tot,orto_po4,color_ver,transparencia,abs_uv,sdt,conduc_campo,conduc_campo_sup,conduc_campo_med,conduc_campo_fon,ph_campo,ph_campo_sup,ph_campo_med,ph_campo_fon,od__,od_mg_l,od___sup,od_mg_l_sup,od___med,od_mg_l_med,cloruros_tot,fe_tot,mn_tot,saam,so4_tot,sst,triclorofluorometano,turbiedad,as_tot,cd_tot,cr_tot,hg_tot,ni_tot,pb_tot,cn_tot,pot_redox_campo_fon,pot_redox_campo_med,pot_redox_campo_sup,ca_tot,dur_tot,temp_amb,temp_agua,temp_agua_sup,temp_agua_med,temp_agua_fon,temp_agua_0_5,temp_agua_1,temp_agua_2,profundidad,caudal,nombre_del_sitio_sitio,estado,latitud,longitud,clasificacion_cdmx,temp_amb_raw,temp_agua_raw,fecha_realizacion
OCAVM2690,OCAVM2690-040514,POZO RN-18E CAMINO DE OPERACION SUR-RAMAL NETZAHUALCOYOTL,SUBTERRÁNEO,41759,2014.0,<25,206.7,0,206.7,,<3,,,1.336,,,,,,0.509,<0.005,<0.031,0.1,0.609,0.609,,,,,,,,,,,,,0.148,0.45288,,,,0.015,370,560,,,,7.7,,,,,,,,,,39.6,0.694,0.2645,<0.01,<1.9,,<0.0002,,0.0031,<0.001301,0.0032,<0.0002013,,<0.00154,,,,,12.07,163.6,23.2,24.8,,,,,,,,,POZO RN-18E CAMINO DE OPERACION SUR-RAMAL NETZAHUALCOYOTL,CIUDAD DE MÉXICO,19.27505,-99.0458,cdmx_local,23.2,24.8,
OCAVM2690,OCAVM2690-010315,POZO RN-18E CAMINO DE OPERACION SUR-RAMAL NETZAHUALCOYOTL,SUBTERRÁNEO,42251,2015.0,<25,208.16,0,208.16,,9,,,<0.103,,,,,,0.359843,0.034512,0.033187,0.535408,0.96295,0.895251,,,,,,,,,,,,,0.1363,0.417078,,,,0.0156,358,510,,,,7.0,,,,,,,,,,46.86,0.059266,0.17601,0.0656,20.2,,<0.0002,,<0.0015,0.000474,<0.0012,<0.0002013,,0.002314,,,,,13.019,166.51,20.9,24.4,,,,,,,,,POZO RN-18E CAMINO DE OPERACION SUR-RAMAL NETZAHUALCOYOTL,CIUDAD DE MÉXICO,19.27505,-99.0458,cdmx_local,20.9,24.4,
OCAVM2690,OCAVM2690-040916,POZO RN-18E CAMINO DE OPERACION SUR-RAMAL NETZAHUALCOYOTL,SUBTERRÁNEO,42667,2016.0,<25,209.7,0,209.7,,15,,,0.7064,,,,,,0.32919,<0.005,0.124886,0.407326,0.861402,0.736516,,,,,,,,,,,,,0.130756,0.40011336000000003,,,,0.0123,340,513,,,,8.0,,,,,,,,,,47.42,0.350795,0.123145,<0.01,12.48,,<0.0002,,<0.0015,0.000524,<0.0012,<0.0002013,,0.00984,,,,,13.887,165.71,25.5,24.3,,,,,,,,,POZO RN-18E CAMINO DE OPERACION SUR-RAMAL NETZAHUALCOYOTL,CIUDAD DE MÉXICO,19.27505,-99.0458,cdmx_local,25.5,24.3,
OCAVM2690,OCAVM2690-190317,POZO RN-18E CAMINO DE OPERACION SUR-RAMAL NETZAHUALCOYOTL,SUBTERRÁNEO,42809,2017.0,<25,202.16,0,202.16,,<1,,,<0.103,,,,,,0.38128,0.02137,0.08892,0.09224,0.58381,0.47352,,,,,,,,,,,,,0.1205,0.36873,,,,0.0146,360,440,,,,7.7,,,,,,,,,,46.1382,0.0903,0.3327,0.025,12.8982,,<0.0002,,<0.0015,<0.001301,<0.0012,<0.0002013,,<0.00154,,,,,15.77,168.4962,20.0,24.0,,,,,,,,,POZO RN-18E CAMINO DE OPERACION SUR-RAMAL NETZAHUALCOYOTL,CIUDAD DE MÉXICO,19.27505,-99.0458,cdmx_local,20.0,24.0,
OCAVM2690,OCAVM2690-130518,POZO RN-18E CAMINO DE OPERACION SUR-RAMAL NETZAHUALCOYOTL,SUBTERRÁNEO,43311,2018.0,<25,224.4,0,224.4,,<10,,,<0.103,,,,,,0.212973,0.005514,0.037018,0.19967,0.455175,0.412643,,,,,,,,,,,,,0.1186,0.362916,,,,0.0104,344,560,,,,7.97,,,,,,,,,,47.978,0.0883,0.2506,0.016,14.0446,,<0.0002,,<0.0015,<0.001301,<0.0012,<0.0002013,,<0.00154,,,,,14.43,159.9118,17.7,22.8,,,,,,,,,POZO RN-18E CAMINO DE OPERACION SUR-RAMAL NETZAHUALCOYOTL,CIUDAD DE MÉXICO,19.27505,-99.0458,cdmx_local,17.7,22.8,
OCAVM2690,OCAVM2690-231218,POZO RN-18E CAMINO DE OPERACION SUR-RAMAL NETZAHUALCOYOTL,SUBTERRÁNEO,43455,2018.0,<25,221.27,0,221.27,,<10,,,0.8167,,,,,,0.344471,0.020528,0.073014,0.06085,0.498863,0.40532100000000004,,,,,,,,,,,,,0.1475,0.45135,,,,0.0145,336,497,,,,7.6,,,,,,,,,,41.7636,0.0733,0.2719,0.068,7.194,,<0.0002,,<0.0015,<0.001301,<0.0012,<0.0002013,,<0.00154,,,,,18.45,165.631,24.4,22.5,,,,,,,,,POZO RN-18E CAMINO DE OPERACION SUR-RAMAL NETZAHUALCOYOTL,CIUDAD DE MÉXICO,19.27505,-99.0458,cdmx_local,24.4,22.5,
OCAVM2690,OCAVM2690-300820,POZO RN-18E CAMINO DE OPERACION SUR-RAMAL NETZAHUALCOYOTL,SUBTERRÁNEO,44070,2020.0,<25,211.055,0,211.055,,<10,,,0.354,,,,,,0.190987,<0.005,0.042235,0.1352,0.36842199999999997,0.326187,,,,,,,,,,,,,0.1478,0.45226799999999995,,,,0.01,339,624,,,,7.8,,,,,,,,,,47.9851,0.0677,0.2163,0.011,8.9514,,<0.0002,,<0.0015,<0.001301,<0.0012,<0.0002013,<0.00042,<0.00154,<0.001,,,,15.96,161.1414,24.1,25.5,,,,,,,,,POZO RN-18E CAMINO DE OPERACION SUR-RAMAL NETZAHUALCOYOTL,CIUDAD DE MÉXICO,19.27505,-99.0458,cdmx_local,24.1,25.5,
OCAVM2691,OCAVM2691-211012,LAGO LOS REYES,LÉNTICO,41214,2012.0,,,,,344.76,150,,43,,,<2,2.5,,,<0.0035,<0.005,<0.031,0,<0.0035,<0.0035,,<1,,<1,,<1,,,,,,,3.623,,10.969,60,0.2,0.6114,657.92,,1028.0,,,,9.19,,,,,<10,<1,,,,,,,,34,,34,0.0018,<0.001301,<0.0012,<0.0002013,<0.00042,<0.00154,,,,8.3,,345,22.0,,,,,,,,,,LAGO LOS REYES,CIUDAD DE MÉXICO,19.266313,-99.006995,cdmx_local,22.0,,
OCAVM2691,OCAVM2691-100313,LAGO LOS REYES,LÉNTICO,41337,2013.0,,,,,240.755,>2400,,23,39.69,37.96,9.7,18.3,40,76,0.09,<0.005,0.0838,1.57,1.7438,1.6600000000000001,,<1,,<1,,<1,,,,,,,3.106,,6.66,60,0.2,0.7,646.4,,1010.0,,,,9.11,,,,,70.2,5.21,,,,,,,,40,,12.5,<0.0015,<0.001301,<0.0012,<0.0002013,<0.00042,<0.00154,,,,-53.4,,286.15,18.0,,16.83,,,16.83,,,,,LAGO LOS REYES,CIUDAD DE MÉXICO,19.266313,-99.006995,cdmx_local,18.0,,
OCAVM2691,OCAVM2691-160214,LAGO LOS REYES,LÉNTICO,41680,2014.0,,,,,105.57,70,,70,48.8,40.15,<2,16.1,137.9,180.34,<0.0035,0.038,0.145,4.75,4.933,4.75,,<1,,<1,,<1,,,,,,,4.311,,1.857,150,0.15,1.509,976,,1525.0,,,,8.62,,,,,78.3,6.22,,,,,,,,100,,49.72,<0.0015,<0.001301,<0.0012,<0.0002013,<0.00042,<0.00154,,,,52.9,,509.47,22.3,,20.64,,,20.64,,,0.3,,LAGO LOS REYES,CIUDAD DE MÉXICO,19.266313,-99.006995,cdmx_local,22.3,,
