clave_sitio,clave_de_monitoreo,nombre_del_sitio,tipo_cuerpo_de_agua,fecha_realización,año,alc_fen,alc_tot,co3,hco3,clorof_a,coli_fec,coli_tot,e_coli,cot,cot_sol,dbo_sol,dbo_tot,dqo_sol,dqo_tot,n_nh3,n_no2,n_no3,n_org,n_tot,n_totk,tox_d_48_ut,tox_d_48_sup_ut,tox_d_48_fon_ut,tox_fis_sup_15_ut,tox_fis_sup_30_ut,tox_fis_sup_5_ut,tox_fis_fon_15_ut,tox_fis_fon_30_ut,tox_fis_fon_5_ut,tox_v_15_ut,tox_v_30_ut,tox_v_5_ut,p_tot,po4_tot,orto_po4,color_ver,transparencia,abs_uv,sdt,conduc_campo,conduc_campo_sup,conduc_campo_med,conduc_campo_fon,ph_campo,ph_campo_sup,ph_campo_med,ph_campo_fon,od__,od_mg_l,od___sup,od_mg_l_sup,od___med,od_mg_l_med,cloruros_tot,fe_tot,mn_tot,saam,so4_tot,sst,triclorofluorometano,turbiedad,as_tot,cd_tot,cr_tot,hg_tot,ni_tot,pb_tot,cn_tot,pot_redox_campo_fon,pot_redox_campo_med,pot_redox_campo_sup,ca_tot,dur_tot,temp_amb,temp_agua,temp_agua_sup,temp_agua_med,temp_agua_fon,temp_agua_0_5,temp_agua_1,temp_agua_2,profundidad,caudal,nombre_del_sitio_sitio,estado,latitud,longitud,clasificacion_cdmx,temp_amb_raw,temp_agua_raw,fecha_realizacion
OCAVM2763W1,OCAVM2763W1-280517,CERRO DE LA ESTRELLA (A) AGUAS ARRIBA,LÓTICO,42880,2017.0,,,,,,>24000,>24000,>24000,27.445,20.08,25.75,28.71,84.73,311.21,1.5807,0.0287,0.2928,43.1107,45.0129,44.6914,<1,,,,,,,,,8.67,,8.6,5.4396,,2.8643,60,,0.115,513.472,802.3,,,,7.3,,,,<10,<1,,,,,,,,2.989,,44,,43.1,<0.0015,<0.001301,<0.0012,<0.0002013,<0.00042,<0.00154,<0.001,,,,,168.68,24.0,20.8,,,,,,,,,CERRO DE LA ESTRELLA (A) AGUAS ARRIBA,CIUDAD DE MÉXICO,19.3374,-99.079815,cdmx_local,24.0,20.8,
OCAVM2763W1,OCAVM2763W1-020717,CERRO DE LA ESTRELLA (A) AGUAS ARRIBA,LÓTICO,42915,2017.0,,,,,,>24000,>24000,>24000,15.845,14.206,40.2,109.24,44.18,124.68,13.3507,0.0144,0.0633,0.2694,13.697799999999999,13.620099999999999,<1,,,,,,,,,<1,,<1,2.3749,,1.2066,50,,0.206,492.99199999999996,770.3,,,,7.4,,,,26.3,1.47,,,,,,,,1.031,,16,,14.7,<0.0015,<0.001301,<0.0012,<0.0002013,<0.00042,<0.00154,<0.001,,,,,170.05,22.0,20.6,,,,,,,,1900,CERRO DE LA ESTRELLA (A) AGUAS ARRIBA,CIUDAD DE MÉXICO,19.3374,-99.079815,cdmx_local,22.0,20.6,
OCAVM2763W1,OCAVM2763W1-060817,CERRO DE LA ESTRELLA (A) AGUAS ARRIBA,LÓTICO,42949,2017.0,,,,,,>24000,>24000,>24000,28.4,20.59,32.21,40.22,35.04,42.11,7.5995,0.0885,0.2485,11.2989,19.2354,18.8984,<1,,,,,,,,,5,,4.78,6.3877,,0.0878,60,,0.246,398.72,623,,,,7.2,,,,46.1,3.2,,,,,,,,0.311,,56,,25.6,<0.0015,<0.001301,<0.0012,<0.0002013,<0.00042,<0.00154,<0.001,,,,,155.78,22.0,20.5,,,,,,,,,CERRO DE LA ESTRELLA (A) AGUAS ARRIBA,CIUDAD DE MÉXICO,19.3374,-99.079815,cdmx_local,22.0,20.5,
OCAVM2763W1,OCAVM2763W1-100917,CERRO DE LA ESTRELLA (A) AGUAS ARRIBA,LÓTICO,42984,2017.0,,,,,,>24000,>24000,>24000,8.38,5.575,8.88,14.1,81.99,145.11,3.0365,0.4597,2.1921,3.1819,8.8702,6.218400000000001,<1,,,,,,,,,5.59,,6.35,1.1599,,0.0916,50,,0.123,343.87199999999996,537.3,,,,8.2,,,,43.4,2.7,,,,,,,,0.074,,72,,29.2,0.0041,<0.001301,0.0127,<0.0002013,0.0059,<0.00154,<0.001,,,,,158.31,14.0,17.0,,,,,,,,1500,CERRO DE LA ESTRELLA (A) AGUAS ARRIBA,CIUDAD DE MÉXICO,19.3374,-99.079815,cdmx_local,14.0,17.0,
OCAVM2763W1,OCAVM2763W1-280118,CERRO DE LA ESTRELLA (A) AGUAS ARRIBA,LÓTICO,43123,2018.0,,,,,,>24000,>24000,>24000,89.82,64.95,122.6,184.82,554.05,739.89,57.0921,0.0238,0.8959,2.5849,60.5967,59.677,<1,,,,,,,,,12.87,,8.94,4.1966,,2.9314,30,,0.266,619.9680000000001,968.7,,,,7.5,,,,11.9,1.02,,,,,,,,4.061,,152,,70,<0.0015,<0.001301,<0.0012,<0.0002013,<0.00042,<0.00154,<0.001,,,,,44.95,22.0,19.0,,,,,,,,449.7,CERRO DE LA ESTRELLA (A) AGUAS ARRIBA,CIUDAD DE MÉXICO,19.3374,-99.079815,cdmx_local,22.0,19.0,
OCAVM2763W1,OCAVM2763W1-040318,CERRO DE LA ESTRELLA (A) AGUAS ARRIBA,LÓTICO,43159,2018.0,,,,,,>24000,>24000,>24000,33.045,28.51,73,152.42,182.5,279.84,35.3787,0.0211,0.0587,23.6292,59.0877,59.00790000000001,<1,,,,,,,,,3.9,,4.05,8.5809,,8.1529,20,,0.24,659.648,1030.7,,,,7.5,,,,20.4,1.42,,,,,,,,1.001,,92,,40,<0.0015,<0.001301,0.1113,<0.0002013,<0.00042,<0.00154,<0.001,,,,,101.63,23.0,19.9,,,,,,,,1255,CERRO DE LA ESTRELLA (A) AGUAS ARRIBA,CIUDAD DE MÉXICO,19.3374,-99.079815,cdmx_local,23.0,19.9,
OCAVM2763W1,OCAVM2763W1-130518,CERRO DE LA ESTRELLA (A) AGUAS ARRIBA,LÓTICO,43228,2018.0,,,,,,>24000,>24000,>24000,36.51,34.04,89.4,139.21,205.49,251.92,29.383,<0.005,0.1283,3.498,33.009299999999996,32.881,<1,,,,,,,,,3.93,3.18,4.66,5.4755,,4.8605,60,,0.247,616.128,962.7,,,,7.4,,,,16.3,1.09,,,,,,,,0.826,,72,,4.7,<0.0015,<0.001301,<0.0012,<0.0002013,<0.00042,<0.00154,<0.001,,,,,66.45,21.0,19.5,,,,,,,,1658.6,CERRO DE LA ESTRELLA (A) AGUAS ARRIBA,CIUDAD DE MÉXICO,19.3374,-99.079815,cdmx_local,21.0,19.5,
OCAVM2763W1,OCAVM2763W1-041118,CERRO DE LA ESTRELLA (A) AGUAS ARRIBA,LÓTICO,43406,2018.0,,,,,,>24000,>24000,>24000,28.295,13.619,87,124.51,144.84,197.14,13.091,0.0133,0.0986,2.41,15.612899999999998,15.501,<1,,,,,,,,,<1,<1,<1,3.0221,,0.2039,60,,0.181,586.88,917,,,,7.5,,,,14.7,1.1,,,,,,,,1.127,,16,,17,<0.0015,<0.001301,<0.0012,<0.0002013,<0.00042,<0.00154,<0.001,,,,,199.35,19.0,21.0,,,,,,,,1823,CERRO DE LA ESTRELLA (A) AGUAS ARRIBA,CIUDAD DE MÉXICO,19.3374,-99.079815,cdmx_local,19.0,21.0,
OCAVM2763W1,OCAVM2763W1-091218,CERRO DE LA ESTRELLA (A) AGUAS ARRIBA,LÓTICO,43438,2018.0,,,,,,<30,<30,<30,52.53,44.28,180.07,220.29,185.19,228.82,32.31,<0.005,0.2447,1.704,34.258700000000005,34.014,<1,,,,,,,,,18.2,14.5,13.51,5.9283,,4.0709,30,,0.226,450.56,704,,,,7.7,,,,<10,<1,,,,,,,,2.597,,20,,32,<0.0015,<0.001301,<0.0012,<0.0002013,<0.00042,<0.00154,<0.001,,,,,119.22,20.0,20.0,,,,,,,,15700,CERRO DE LA ESTRELLA (A) AGUAS ARRIBA,CIUDAD DE MÉXICO,19.3374,-99.079815,cdmx_local,20.0,20.0,
OCAVM2763W1,OCAVM2763W1-100219,CERRO DE LA ESTRELLA (A) AGUAS ARRIBA,LÓTICO,43503,2019.0,,,,,,>24000,>24000,>24000,60.38,39.88,103.8,165.32,332.8,426.08,34.009,0.0149,1.2505,15.895,51.169399999999996,49.903999999999996,<1,,,,,,,,,3.37,3.09,3.7,7.4634,,1.1235,60,,0.196,623.36,974,,,,6.9,,,,<10,<1,,,,,,,,2.677,,116,,50,<0.0015,<0.001301,<0.0012,<0.0002013,<0.00042,<0.00154,<0.001,,,,,158.01,22.0,19.8,,,,,,,,1200,CERRO DE LA ESTRELLA (A) AGUAS ARRIBA,CIUDAD DE MÉXICO,19.3374,-99.079815,cdmx_local,22.0,19.8,
OCAVM2763W1,OCAVM2763W1-300820,CERRO DE LA ESTRELLA (A) AGUAS ARRIBA,LÓTICO,44069,2020.0,,,,,,2100,,1500,43.799,,,18,,407.26,26.6538,0.101,0.8654,16.142,43.7622,42.7958,<1,,,,,,,,,3.11,3.01,,6.0373,,0.7616,60,,,452.48,707,,,,7.7,,,,23.4,1.2,,,,,,,,0.215,,80,,40,<0.0015,<0.001301,<0.0012,<0.0002013,<0.00042,<0.00154,<0.001,,,,,193.41,21.0,21.0,,,,,,,,1242,CERRO DE LA ESTRELLA (A) AGUAS ARRIBA,CIUDAD DE MÉXICO,19.3374,-99.079815,cdmx_local,21.0,21.0,
OCAVM2764W1,OCAVM2764-160214,CERRO DE LA ESTRELLA (A) AGUAS ABAJO,LÓTICO,41683,2014.0,,,,,1.8,<3,,<3,10.183,10.106,2.7,12.4,23.87,29.48,6.66,<0.005,8.579,0.903,16.142,7.563000000000001,,<1,<1,<1,,<1,,,,,,,4.29,,4.028,30,0.7,0.22,547.84,,856.0,,,,7.1,,,,,91.7,6.4,,,,,,,,<10,,<2.5,<0.0015,<0.001301,<0.0012,<0.0002013,<0.00042,<0.00154,,,,290.0,,73.6,19.9,,22.0,,,22.0,,,1,,CERRO DE LA ESTRELLA (A) AGUAS ABAJO,CIUDAD DE MÉXICO,19.33625,-99.077327,cdmx_local,19.9,,
OCAVM2764W1,OCAVM2764-120715,CERRO DE LA ESTRELLA (A) AGUAS ABAJO,LÓTICO,42192,2015.0,,,,,0.5429,<3,,<3,6.275,4.563,2.28,3.45,25.5,30,1.1719,1.5008,3.274,0.1224,6.0691,1.2943,,<1,<1,<1,,<1,<1,,<1,,,,1.7122,,1.6266,30,0,0.1678,453.76,,709.0,,,,7.1,,,,,79.65,7.09,,,,,,,,<10,,<2.5,<0.0015,<0.001301,<0.0012,<0.0002013,<0.00042,<0.00154,,,,425.0,,150.2,21.1,,22.9,,,22.9,,,0.7,,CERRO DE LA ESTRELLA (A) AGUAS ABAJO,CIUDAD DE MÉXICO,19.33625,-99.077327,cdmx_local,21.1,,
OCAVM2764W1,OCAVM2764W1-050317,CERRO DE LA ESTRELLA (A) AGUAS ABAJO,LÓTICO,42796,2017.0,,,,,,>24000,>24000,>24000,7.31,6.247,6.54,13.98,32.47,44.77,14.1636,0.4094,2.6884,0.3916,17.653000000000002,14.555200000000001,<1,,,,,,,,,<1,,<1,1.6303,,0.4453,50,,0.151,437.76,684,,,,7.1,,,,73.9,4.29,,,,,,,,0.225,,24,,<2.5,<0.0015,<0.001301,<0.0012,<0.0002013,<0.00042,<0.00154,<0.001,,,,,162.26,21.0,15.9,,,,,,,,1500,CERRO DE LA ESTRELLA (A) AGUAS ABAJO,CIUDAD DE MÉXICO,19.33625,-99.077327,cdmx_local,21.0,15.9,
OCAVM2764W1,OCAVM2764W1-100917,CERRO DE LA ESTRELLA (A) AGUAS ABAJO,LÓTICO,42984,2017.0,,,,,,<30,<30,<30,4.254,4.154,4.5,5.82,69.72,98.67,0.9359,0.1299,7.5701,0.2482,8.8841,1.1841,<1,,,,,,,,,<1,,<1,0.3844,,0.1027,10,,0.104,192.448,300.7,,,,7.9,,,,55.4,3.77,,,,,,,,<0.01,,12,,2.61,0.0025,<0.001301,0.0146,<0.0002013,0.0087,<0.00154,<0.001,,,,,127.04,14.0,19.6,,,,,,,,1700,CERRO DE LA ESTRELLA (A) AGUAS ABAJO,CIUDAD DE MÉXICO,19.33625,-99.077327,cdmx_local,14.0,19.6,
OCAVM2764W1,OCAVM2764W1-280118,CERRO DE LA ESTRELLA (A) AGUAS ABAJO,LÓTICO,43123,2018.0,,,,,,<30,<30,<30,11.98,9.6,21.84,24.78,262.39,360.72,21.1628,0.3133,0.6531,2.6451,24.7743,23.8079,<1,,,,,,,,,<1,,<1,5.1934,,2.8974,40,,0.167,534.2080000000001,834.7,,,,7.6,,,,88,6.12,,,,,,,,0.513,,18,,40,<0.0015,<0.001301,<0.0012,<0.0002013,<0.00042,<0.00154,<0.001,,,,,35.18,22.0,20.2,,,,,,,,254,CERRO DE LA ESTRELLA (A) AGUAS ABAJO,CIUDAD DE MÉXICO,19.33625,-99.077327,cdmx_local,22.0,20.2,
OCAVM2764W1,OCAVM2764W1-130518,CERRO DE LA ESTRELLA (A) AGUAS ABAJO,LÓTICO,43228,2018.0,,,,,,430,640,430,8.045,7.406,10.32,11.7,46.85,51.73,0.6387,0.2503,1.9608,0.2995,3.1493,0.9382,<1,,,,,,,,,<1,<1,<1,4.6214,,2.7878,10,,0.155,519.04,811,,,,7.3,,,,38.7,2.67,,,,,,,,0.143,,28,,<2.5,<0.0015,<0.001301,<0.0012,<0.0002013,<0.00042,<0.00154,<0.001,,,,,101.62,22.0,20.8,,,,,,,,1621.2,CERRO DE LA ESTRELLA (A) AGUAS ABAJO,CIUDAD DE MÉXICO,19.33625,-99.077327,cdmx_local,22.0,20.8,
OCAVM2764W1,OCAVM2764W1-041118,CERRO DE LA ESTRELLA (A) AGUAS ABAJO,LÓTICO,43406,2018.0,,,,,,70,110,70,6.464,5.391,17.7,22.98,41.86,47.38,2.8021,0.3857,4.1474,2.767,10.1022,5.5691,<1,,,,,,,,,<1,<1,<1,,,,50,,0.143,540.8,845,,,,7.4,,,,29.1,1.06,,,,,,,,0.114,,12,,<2.5,<0.0015,<0.001301,<0.0012,<0.0002013,<0.00042,<0.00154,<0.001,,,,,187.62,20.0,20.0,,,,,,,,1640.7,CERRO DE LA ESTRELLA (A) AGUAS ABAJO,CIUDAD DE MÉXICO,19.33625,-99.077327,cdmx_local,20.0,20.0,
OCAVM2764W1,OCAVM2764W1-091218,CERRO DE LA ESTRELLA (A) AGUAS ABAJO,LÓTICO,43438,2018.0,,,,,,30,40,30,9.586,7.351,9.18,10.8,24.4,31.72,0.7548,0.3996,4.3926,14.2152,19.7622,14.969999999999999,<1,,,,,,,,,<1,<1,<1,1.9243,,1.3064,30,,0.162,450.56,704,,,,7.7,,,,<10,<1,,,,,,,,0.217,,20,,<2.5,<0.0015,<0.001301,<0.0012,<0.0002013,<0.00042,<0.00154,<0.001,,,,,189.58,20.0,20.0,,,,,,,,17000,CERRO DE LA ESTRELLA (A) AGUAS ABAJO,CIUDAD DE MÉXICO,19.33625,-99.077327,cdmx_local,20.0,20.0,
OCAVM2764W1,OCAVM2764W1-100219,CERRO DE LA ESTRELLA (A) AGUAS ABAJO,LÓTICO,43503,2019.0,,,,,,70,110,70,9.194,7.478,11.88,15.84,33.7,37.44,7.1694,0.4428,7.3819,13.4096,28.4037,20.579,<1,,,,,,,,,<1,<1,<1,1.4702,,1.2621,40,,0.149,524.8,820,,,,7.1,,,,<10,<1,,,,,,,,0.116,,28,,<2.5,<0.0015,<0.001301,<0.0012,<0.0002013,<0.00042,<0.00154,<0.001,,,,,144.63,23.0,21.5,,,,,,,,1080,CERRO DE LA ESTRELLA (A) AGUAS ABAJO,CIUDAD DE MÉXICO,19.33625,-99.077327,cdmx_local,23.0,21.5,
OCAVM2764W1,OCAVM2764W1-300820,CERRO DE LA ESTRELLA (A) AGUAS ABAJO,LÓTICO,44069,2020.0,,,,,,1500,,1500,9.347,,,2.88,,35.82,5.9873,0.141,3.2245,8.4085,17.7613,14.395800000000001,1.1,,,,,,,,,<1,<1,,0.985,,0.5708,40,,,425.6,665,,,,7.5,,,,39.6,3.21,,,,,,,,<0.01,,24,,<2.5,<0.0015,<0.001301,<0.0012,<0.0002013,<0.00042,<0.00154,<0.001,,,,,167.76,22.0,23.0,,,,,,,,,CERRO DE LA ESTRELLA (A) AGUAS ABAJO,CIUDAD DE MÉXICO,19.33625,-99.077327,cdmx_local,22.0,23.0,
OCAVM2765,OCAVM2765-211012,SISTEMA LACUSTRE EJIDOS DE XOCHIMILCO Y SAN GREGORIO ATLAPULCO 3,LÉNTICO (HUMEDAL),41214,2012.0,,,,,723.84,460,,460,29.24,12.47,2.7,3.8,48.38,56.45,0.67,0.195,6.776,0,7.641,0.67,,<1,,<1,,<1,,,,,,,3.831,,3.895,40,0.25,0.2488,460.16,,719.0,,,,8.87,,,,,>150,9.87,,,,,,,,56,,6,0.0027,<0.001301,0.007,<0.0002013,<0.00042,<0.00154,,,,3.0,,157.06,24.0,,,,,,,,,,SISTEMA LACUSTRE EJIDOS DE XOCHIMILCO Y SAN GREGORIO ATLAPULCO 3,CIUDAD DE MÉXICO,19.292469,-99.098334,cdmx_local,24.0,,
OCAVM2765,OCAVM2765-100313,SISTEMA LACUSTRE EJIDOS DE XOCHIMILCO Y SAN GREGORIO ATLAPULCO 3,LÉNTICO (HUMEDAL),41339,2013.0,,,,,39.3,150,,11,17.77,16.22,<2,4.3,36,48,<0.0035,0.1282,0.28,3.08,3.4882,3.08,,<1,,<1,,<1,,,,,,,2.78,,3.52,40,0.15,0.263,474.88,,742.0,,,,,,,,,,,,,,,,,,128,,11.8,0.0026,<0.001301,<0.0012,<0.0002013,<0.00042,<0.00154,,,,100.9,,156.93,23.0,,20.0,,,20.0,,,,,SISTEMA LACUSTRE EJIDOS DE XOCHIMILCO Y SAN GREGORIO ATLAPULCO 3,CIUDAD DE MÉXICO,19.292469,-99.098334,cdmx_local,23.0,,
OCAVM2765,OCAVM2765-210713,SISTEMA LACUSTRE EJIDOS DE XOCHIMILCO Y SAN GREGORIO ATLAPULCO 3,LÉNTICO (HUMEDAL),41473,2013.0,,,,,138.1261,43,,15,27.28,27.28,2.5,11.6,23.81,31.74,1.64,0.164,0.17,0.14,2.114,1.7799999999999998,,<1,,<1,,<1,,,,,,,2.145,,5.348,40,0.3,0.2596,439.68,,687.0,,,,,,,,,,,,,,,,,,24,,22.7,0.0045,<0.001301,<0.0012,<0.0002013,0.0034,0.0038,,,,32.1,,126.7,22.4,,20.9,,,20.9,,,,,SISTEMA LACUSTRE EJIDOS DE XOCHIMILCO Y SAN GREGORIO ATLAPULCO 3,CIUDAD DE MÉXICO,19.292469,-99.098334,cdmx_local,22.4,,
OCAVM2765,OCAVM2765-190818,SISTEMA LACUSTRE EJIDOS DE XOCHIMILCO Y SAN GREGORIO ATLAPULCO 3,LÉNTICO (HUMEDAL),43343,2018.0,,,,,45.1796,1134,,231,20.255,13.355,4.32,7.58,11.76,73.56,0.31868,0.052437,1.716143,3.08977,5.17703,3.40845,,<1,,<1,<1,,,,,,,,5.871846,,2.911461,70,0.6,0.57029,523.52,,818.0,,,,7.4,,,,,61.6,3.9,,,,,,,,41,,13,<0.0015,<0.001301,<0.0012,<0.0002013,<0.00042,<0.00154,,,,99.3,,229.79,26.0,,25.1,,,25.1,,,0.6,,SISTEMA LACUSTRE EJIDOS DE XOCHIMILCO Y SAN GREGORIO ATLAPULCO 3,CIUDAD DE MÉXICO,19.292469,-99.098334,cdmx_local,26.0,,
OCAVM2766,OCAVM2766-211012,RIO BUEN AVENTURA,LÓTICO (HUMEDAL),41214,2012.0,,,,,,150,2400,75,100.05,44.48,11,14.1,139.39,371.71,32.21,<0.005,<0.031,0,32.21,32.21,<1,,,,,,,,,5.72,,5.7,5.989,,9.101,50,,0.4769,343.68,537,,,,7.65,,,,<10,<1,,,,,,,,,,200,,84,<0.0015,<0.001301,<0.0012,<0.0002013,<0.00042,<0.00154,,,,,,380.46,17.0,16.1725,,,,,,,,706.7,RIO BUEN AVENTURA,CIUDAD DE MÉXICO,19.288482,-99.114098,cdmx_local,17.0,16.1725,
OCAVM2766,OCAVM2766-181112,RIO BUEN AVENTURA,LÓTICO (HUMEDAL),41250,2012.0,,,,,,<3,4,<3,116,,62.3,108.5,,206.4,6.11,<0.005,0.12,2.04,8.27,8.15,<1,,,,,,,,,<1,,<1,4.51,,10.52,25,,0.5901,431.52,674.25,,,,7.79,,,,36.7,2.75,,,,,,,,,,112,,27,<0.0015,<0.001301,0.007176,<0.0002013,0.005866,<0.00154,,,,,,261.89,18.0,16.365,,,,,,,,,RIO BUEN AVENTURA,CIUDAD DE MÉXICO,19.288482,-99.114098,cdmx_local,18.0,16.365,
OCAVM2766,OCAVM2766-161212,RIO BUEN AVENTURA,LÓTICO (HUMEDAL),41275,2013.0,,,,,,150,150,<3,124.5,39.32,80,172.5,162.62,263.29,30.03,<0.005,0.14,10.93,41.1,40.96,<1,,,,,,,,,<1,,<1,6.57,,12.4,40,,1.109,355.2,555,,,,7.71,,,,<10,<1,,,,,,,,,,120,,26,<0.0015,<0.001301,<0.0012,<0.0002013,<0.00042,<0.00154,,,,,,74.11,17.0,15.485,,,,,,,,224.5,RIO BUEN AVENTURA,CIUDAD DE MÉXICO,19.288482,-99.114098,cdmx_local,17.0,15.485,
OCAVM2766,OCAVM2766-100313,RIO BUEN AVENTURA,LÓTICO (HUMEDAL),41337,2013.0,,,,,,1100,1100,15,135.1,77.8,141.1,230.2,196.08,274.51,3.845,<0.005,<0.031,3.6,7.445,7.445,2.08,,,,,10.1,,,,10.42,,,6.95,,17.08,50,,1.7071,497.06559999999996,776.665,,,,7.685,,,,<10,<1,,,,,,,,,,60,,87.2,<0.0015,0.00098,0.0062,<0.0002013,0.0061,0.0083,,,,,,113.72,21.0,16.935,,,,,,,,228.5,RIO BUEN AVENTURA,CIUDAD DE MÉXICO,19.288482,-99.114098,cdmx_local,21.0,16.935,
OCAVM2766,OCAVM2766-280413,RIO BUEN AVENTURA,LÓTICO (HUMEDAL),41389,2013.0,,,,,,>2400,>2400,3,115.05,68.04,132.6,177.1,160,200,0.0504,<0.005,<0.031,1.32,1.3704,1.3704,<1,,,,,<1,,,,<1,,,6.94,,21.3,150,,1.3776,440,687.5,,,,7.75,,,,<10,<1,,,,,,,,,,106,,152,0.00625,<0.001301,<0.0012,0.00025,0.004847,0.006454,,,,,,115.48,26.2,20.21,,,,,,,,205.5,RIO BUEN AVENTURA,CIUDAD DE MÉXICO,19.288482,-99.114098,cdmx_local,26.2,20.21,
OCAVM2766,OCAVM2766-230613,RIO BUEN AVENTURA,LÓTICO (HUMEDAL),41444,2013.0,,,,,,>2400,>2400,15,71.65,60.728,69.5,147.5,222.91,408.67,0.035,<0.005,<0.031,0.615,0.65,0.65,4.16,,,,,8.02,,,,8.83,,,6.677,,10.844,10,,1.2255,512.32,800.5,,,,7.55,,,,<10,<1,,,,,,,,,,44,,130,<0.0015,<0.001301,<0.0012,<0.0002013,0.009,<0.00154,,,,,,1068.9,23.6,20.4,,,,,,,,274.5,RIO BUEN AVENTURA,CIUDAD DE MÉXICO,19.288482,-99.114098,cdmx_local,23.6,20.4,
OCAVM2766,OCAVM2766-210713,RIO BUEN AVENTURA,LÓTICO (HUMEDAL),41471,2013.0,,,,,,15,1100,9,92.45,68.52,45,103,193.84,348.91,24.375,<0.005,0.126,2.275,26.776,26.65,2.43,,,,,8.7,,,,10.18,,,4.932,,3.944,125,,1.084,552,862.5,,,,7.61,,,,<10,<1,,,,,,,,,,176,,142,0.0049,<0.001301,0.0048,<0.0002013,0.0047,0.006,,,,,,145.27,21.5,19.4,,,,,,,,752.3,RIO BUEN AVENTURA,CIUDAD DE MÉXICO,19.288482,-99.114098,cdmx_local,21.5,19.4,
OCAVM2766,OCAVM2766-250813,RIO BUEN AVENTURA,LÓTICO (HUMEDAL),41507,2013.0,,,,,,>2400,>2400,3,46.84,36.39,111,135.9,142.45,359.88,43.5877,<0.005,0.0435,,,,1.27,,,,,,,,,2.57,2.68,,4.965,,,50,,4.5772,400,625,,,,8.42,,,,<10,<1,,,,,,,,,,120,,107,0.0018,<0.001301,<0.0012,<0.0002013,<0.00042,<0.00154,,,,,,93.19,21.2,19.1,,,,,,,,271.8,RIO BUEN AVENTURA,CIUDAD DE MÉXICO,19.288482,-99.114098,cdmx_local,21.2,19.1,
OCAVM2766,OCAVM2766-220913,RIO BUEN AVENTURA,LÓTICO (HUMEDAL),41534,2013.0,,,,,,>2400,>2400,6,75.14,55.28,73.7,219.3,126.82,388.39,44.5401,<0.005,<0.031,10.05,54.59010000000001,54.59010000000001,<1,,,,,9.89,,,,7.63,,,8.604,,4.622,30,,0.9496,495.36,774,,,,7.54,,,,<10,<1,,,,,,,,,,208,,195,0.0029,<0.001301,0.0021,<0.0002013,0.0032,0.0089,,,,,,144.6,21.3,19.2,,,,,,,,396,RIO BUEN AVENTURA,CIUDAD DE MÉXICO,19.288482,-99.114098,cdmx_local,21.3,19.2,
OCAVM2766,OCAVM2766-160214,RIO BUEN AVENTURA,LÓTICO (HUMEDAL),41680,2014.0,,,,,,>24000,>24000,70,26.56,26.56,111.1,165.1,294.2,471.7,17.91,0.03,0.108,69.18,87.22800000000001,87.09,1.08,,,,,,,,,65.75,,62.34,7.065,,6.128,80,,0.502,533.44,833.5,,,,7.37,,,,,,,,,,,,,8.55,,190,,151.8,0.0037,<0.001301,0.04053,0.00793,0.02797,<0.00154,<0.001,,,,,156.16,21.8,18.03,,,,,,,,308.1,RIO BUEN AVENTURA,CIUDAD DE MÉXICO,19.288482,-99.114098,cdmx_local,21.8,18.03,
OCAVM2766,OCAVM2766-150614,RIO BUEN AVENTURA,LÓTICO (HUMEDAL),41801,2014.0,,,,,,>24000,>24000,40,88,29.89,24.4,33.8,328.91,343.86,41.603,0.222,<0.031,49.258,91.083,90.861,<1,,,,,,,,,<1,,<1,7.363,,1.723,100,,1.145,495.87199999999996,774.8,,,,7.6,,,,,,,,,,,,,0.635,,112,,119,<0.0015,<0.001301,<0.0012,<0.0002013,0.003,<0.00154,0.004,,,,,109.8,21.7,19.3,,,,,,,,247,RIO BUEN AVENTURA,CIUDAD DE MÉXICO,19.288482,-99.114098,cdmx_local,21.7,19.3,
OCAVM2766,OCAVM2766-270714,RIO BUEN AVENTURA,LÓTICO (HUMEDAL),41878,2014.0,,,,,,150,>24000,,94.1,51.8,75.7,350,398.82,471.33,30.924,<0.005,<0.031,27.366,58.29,58.29,<1,,,,,,,,,<1,,<1,7.856,,0.576,25,,1.208,447.36,699,,,,7.9,,,,,,,,,,,,,0.547,,172,,99.25,0.0024,<0.001301,<0.0012,<0.0002013,0.0036,<0.00154,0.006,,,,,157.2,22.5,18.1,,,,,,,,247.5,RIO BUEN AVENTURA,CIUDAD DE MÉXICO,19.288482,-99.114098,cdmx_local,22.5,18.1,
OCAVM2766,OCAVM2766-290315,RIO BUEN AVENTURA,LÓTICO (HUMEDAL),42090,2015.0,,,,,,93,93,<3,147.7,57.84,106.1,163.1,417.91,487.04,41.524113,0.044972,<0.031,26.749462,68.318547,68.273575,1.03,,,,,,,,,6.55,,6.58,4.853939,,2.538551,100,,1.4421,595.84,931,,,,7.5,,,,,,,,,,,,,4.286,,140,,156,<0.0015,<0.001301,0.004404,0.000125,0.003632,0.005488,0.003758,,,,,95.54,20.8,16.2,,,,,,,,617,RIO BUEN AVENTURA,CIUDAD DE MÉXICO,19.288482,-99.114098,cdmx_local,20.8,16.2,
