clave_entidad,entidad,clave_municipio,municipio,cve_alcaldia,anio,periodo,grupo,poblacion,pobreza_porcentaje,carencia_calidad_espacios_vivienda_porcentaje,ingreso_inferior_a_lpi_porcentaje
9,Ciudad de México,9011,Tláhuac,011,2010,2010-01-01,"Niñas, niños y adolescentes (0 a 17 años)",130151,48.765097,10.817138,56.350739
9,Ciudad de México,9012,Tlalpan,012,2010,2010-01-01,"Niñas, niños y adolescentes (0 a 17 años)",181348,39.36341,12.471115,43.045492
9,Ciudad de México,9013,Xochimilco,013,2010,2010-01-01,"Niñas, niños y adolescentes (0 a 17 años)",124382,45.039665,15.575758,49.641698
9,Ciudad de México,9014,Benito Juárez,014,2010,2010-01-01,"Niñas, niños y adolescentes (0 a 17 años)",54867,,5.763101,
9,Ciudad de México,9015,Cuauhtémoc,015,2010,2010-01-01,"Niñas, niños y adolescentes (0 a 17 años)",127749,30.572871,8.933909,35.915395
9,Ciudad de México,9016,Miguel Hidalgo,016,2010,2010-01-01,"Niñas, niños y adolescentes (0 a 17 años)",74315,16.039397,5.879524,18.525667
9,Ciudad de México,9017,Venustiano Carranza,017,2010,2010-01-01,"Niñas, niños y adolescentes (0 a 17 años)",122997,37.213481,9.325822,43.954093
9,Ciudad de México,9002,Azcapotzalco,002,2020,2020-01-01,Jóvenes (18 a 29 años),69724,27.363199,4.793814,35.540995
9,Ciudad de México,9003,Coyoacán,003,2020,2020-01-01,Jóvenes (18 a 29 años),101179,31.960987,3.929752,39.880716
9,Ciudad de México,9004,Cuajimalpa de Morelos,004,2020,2020-01-01,Jóvenes (18 a 29 años),36722,35.886303,7.069241,42.20738
9,Ciudad de México,9005,Gustavo A. Madero,005,2020,2020-01-01,Jóvenes (18 a 29 años),202158,37.127536,4.979832,45.957761
9,Ciudad de México,9006,Iztacalco,006,2020,2020-01-01,Jóvenes (18 a 29 años),67989,28.149479,3.984716,34.201048
9,Ciudad de México,9007,Iztapalapa,007,2020,2020-01-01,Jóvenes (18 a 29 años),346664,46.769102,7.303966,53.736882
