rank,nom_alcaldia,nom_colonia,pob_colonia,IVH,score_priorizacion,causa_raiz,intervencion,casos_morbilidad_estimados,pob_menores_estim
77,TLAHUAC,SAN MIGUEL ZAPOTITLA,13549,0.613,0.234,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),939.9,2903.0
78,TLAHUAC,MIGUEL HIDALGO OTE,13286,0.62,0.234,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),921.7,2846.0
79,XOCHIMILCO,EL ROSARIO (BARR),625,0.807,0.234,ambas,Intervención dual: red + planta (proyecto integral),99.7,126.0
80,XOCHIMILCO,LOS CERRILLOS II,6395,0.773,0.234,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),1020.3,1288.0
81,XOCHIMILCO,LOS CERRILLOS III,6183,0.776,0.234,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),986.4,1245.0
82,AZCAPOTZALCO,DEL MAESTRO,654,0.312,0.232,fugas,Reemplazo de red secundaria (cuadrillas + tubería),19.2,106.0
83,XOCHIMILCO,GUADALUPE,6358,0.741,0.231,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),1014.4,1280.0
84,XOCHIMILCO,SAN JUAN (BARR),1692,0.774,0.231,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),269.9,341.0
85,XOCHIMILCO,TLAXOPAN,5862,0.783,0.231,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),935.2,1180.0
86,IZTAPALAPA,DESARROLLO URBANO QUETZALCOATL  II,16586,0.624,0.23,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),583.4,3315.0
87,CUAJIMALPA DE MORELOS,SAN MATEO TLALTENANGO (PBLO),23623,0.584,0.23,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),1000.7,4916.0
88,VENUSTIANO CARRANZA,MOCTEZUMA 2A SECCION III,12198,0.28,0.23,otra,Auditoría técnica para identificar causa secundaria,433.5,2147.0
89,GUSTAVO A. MADERO,SANTA ISABEL TOLA (PBLO),14490,0.386,0.23,otra,Auditoría técnica para identificar causa secundaria,442.1,2622.0
90,TLAHUAC,OJO DE AGUA,3128,0.717,0.23,ambas,Intervención dual: red + planta (proyecto integral),217.0,670.0
91,IZTAPALAPA,LEYES DE REFORMA 3A SECCION I,16825,0.614,0.228,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),591.8,3363.0
92,TLAHUAC,LA CONCHITA I,11454,0.654,0.226,ambas,Intervención dual: red + planta (proyecto integral),794.6,2454.0
93,VENUSTIANO CARRANZA,JARDIN BALBUENA I,11775,0.387,0.226,fugas,Reemplazo de red secundaria (cuadrillas + tubería),418.5,2072.0
94,MIGUEL HIDALGO,ANAHUAC I,18835,0.227,0.226,otra,Auditoría técnica para identificar causa secundaria,1671.3,2840.0
95,XOCHIMILCO,NATIVITAS (U HAB),2198,0.709,0.226,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),350.7,443.0
96,IZTAPALAPA,RENOVACION,14346,0.655,0.226,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),504.6,2867.0
97,TLALPAN,PEDREGAL DE SN NICOLAS 1A SECC,12130,0.715,0.225,ambas,Intervención dual: red + planta (proyecto integral),1128.1,2238.0
98,XOCHIMILCO,SAN ESTEBAN (BARR),2359,0.784,0.225,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),376.4,475.0
99,IZTAPALAPA,CHINAMPAC DE JUAREZ II,16846,0.577,0.224,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),592.5,3367.0
100,IZTACALCO,TLACOTAL RAMOS MILLAN,7909,0.412,0.223,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),216.4,1355.0
