id_colonia,nom_alcaldia,nom_colonia,n_fugas_predicho,riesgo_nivel,IVH
10-237,ALVARO OBREGON,VILLA SOLIDARIDAD,0.0,Bajo,0.3563
10-235,ALVARO OBREGON,VALENTIN GOMEZ FARIAS,0.0,Bajo,0.6587
06-042,IZTACALCO,AGRICOLA ORIENTAL III,0.0,Bajo,0.3974
06-041,IZTACALCO,AGRICOLA ORIENTAL II,0.0,Bajo,0.4095
06-005,IZTACALCO,COYUYA (FRACC),0.0,Bajo,0.4286
06-046,IZTACALCO,AGRICOLA ORIENTAL VII,0.0,Bajo,0.4159
06-047,IZTACALCO,AGRICOLA ORIENTAL VIII,0.0,Bajo,0.4209
06-053,IZTACALCO,INFONAVIT IZTACALCO (U HAB) II,0.0,Bajo,0.4062
05-253,GUSTAVO A. MADERO,LA ESMERALDA II,0.0,Bajo,0.353
06-057,IZTACALCO,PANTITLAN II,0.0,Bajo,0.3879
06-058,IZTACALCO,PANTITLAN III,0.0,Bajo,0.3834
05-247,GUSTAVO A. MADERO,SAN JUAN DE ARAGON 7 SECC (U HAB) I,0.0,Bajo,0.2801
12-174,TLALPAN,TEZONTITLA - EL CALVARIO (AMPL),0.0,Bajo,0.5284
12-170,TLALPAN,TEPETLICA EL ALTO-3 DE MAYO,0.0,Bajo,0.6176
12-168,TLALPAN,TENORIOS INFONAVIT 1 Y 2 (U HAB),0.0,Bajo,0.642
12-166,TLALPAN,SOLIDARIDAD,0.0,Bajo,0.6671
07-011,IZTAPALAPA,ART 4TO CONSTITUCIONAL (U HAB),0.0,Bajo,0.6069
12-102,TLALPAN,MOVIMIENTO ORGANIZADO DE TLALPAN-EL MIRADOR (RNCDA),0.0,Bajo,0.6691
06-023,IZTACALCO,PICOS IZTACALCO 1-A,0.0,Bajo,0.434
05-236,GUSTAVO A. MADERO,PROVIDENCIA III,0.0,Bajo,0.2845
12-103,TLALPAN,NARCISO MENDOZA-VILLA COAPA SUPER MANZANA 1 (U HAB),0.0,Bajo,0.6564
12-104,TLALPAN,NARCISO MENDOZA-VILLA COAPA SUPER MANZANA 2 (U HAB),0.0,Bajo,0.6464
12-105,TLALPAN,NARCISO MENDOZA-VILLA COAPA SUPER MANZANA 3 (U HAB),0.0,Bajo,0.6465
12-201,TLALPAN,XAXALIPAC,0.0,Bajo,0.6262
12-200,TLALPAN,XAXALCO,0.0,Bajo,0.6182
12-106,TLALPAN,NARCISO MENDOZA-VILLA COAPA SUPER MANZANA 6 (U HAB),0.0,Bajo,0.6389
12-107,TLALPAN,NARCISO MENDOZA-VILLA COAPA SUPER MANZANA 7 (U HAB),0.0,Bajo,0.6428
12-193,TLALPAN,VILLA DEL PUENTE FOVISSSTE  (U HAB),0.0,Bajo,0.6344
12-112,TLALPAN,ORIENTE (AMPL),0.0,Bajo,0.6871
12-182,TLALPAN,TRES FUENTES (U HAB),0.0,Bajo,0.6061
12-124,TLALPAN,PIEDRA LARGA,0.0,Bajo,0.5284
12-131,TLALPAN,PRADO COAPA 3A SECCION-POTRERO ACOXPA,0.0,Bajo,0.6385
12-132,TLALPAN,PROGRESO TLALPAN,0.0,Bajo,0.5284
05-220,GUSTAVO A. MADERO,CHALMA DE GUADALUPE II,0.0,Bajo,0.3375
12-133,TLALPAN,PUEBLO QUIETO,0.0,Bajo,0.6571
07-032,IZTAPALAPA,CONCORDIA ZARAGOZA (U HAB),0.0,Bajo,0.6009
12-082,TLALPAN,AMPLIACION LOMAS DE PADIERNA,0.0,Bajo,0.6575
12-218,TLALPAN,CONJUNTO HABITACIONAL PEDREGAL DEL LAGO,0.0,Bajo,0.6864
12-216,TLALPAN,LA MAGUEYERA,0.0,Bajo,0.6566
12-084,TLALPAN,LOMAS DE TEXCALATLACO,0.0,Bajo,0.6639
12-204,TLALPAN,ZAPOTE-LUIS DONALDO COLOSIO (U HABS),0.0,Bajo,0.6676
12-202,TLALPAN,ZACATIENDA,0.0,Bajo,0.6504
12-088,TLALPAN,LOS PASTORES,0.0,Bajo,0.665
12-096,TLALPAN,MIRADOR 1A SECC,0.0,Bajo,0.715
06-063,IZTACALCO,INFONAVIT IZTACALCO (U HAB) III,0.0,Bajo,0.4097
05-178,GUSTAVO A. MADERO,SUTIC VALLEJO (U HAB),0.0,Bajo,0.2318
06-064,IZTACALCO,INFONAVIT IZTACALCO (U HAB) ZONA DEL LAGO,0.0,Bajo,0.3809
07-002,IZTAPALAPA,ALBARRADAS (U HAB),0.0,Bajo,0.6171
07-003,IZTAPALAPA,ALCANFORES (U HAB),0.0,Bajo,0.529
07-004,IZTAPALAPA,ALLEPETLALI (U HAB),0.0,Bajo,0.4008
13-008,XOCHIMILCO,CERRO GRANDE,0.0,Bajo,0.7169
13-001,XOCHIMILCO,ALTOS TEPETLICA,0.0,Bajo,0.7141
12-226,TLALPAN,LA VENTA-AMPLIACION LA VENTA,0.0,Bajo,0.6401
12-224,TLALPAN,ATOCPA,0.0,Bajo,0.6463
12-223,TLALPAN,RESIDENCIAL FUENTES DE CANTERA (U HAB),0.0,Bajo,0.6477
06-020,IZTACALCO,MOSCO CHINAMPA,0.0,Bajo,0.4245
12-221,TLALPAN,LOMA BONITA-AMPLIACION TEPEXIMILPA,0.0,Bajo,0.6878
07-006,IZTAPALAPA,ALVARO OBREGON_(FRACC),0.0,Bajo,0.6134
07-008,IZTAPALAPA,ANTORCHA POPULAR I (U HAB),0.0,Bajo,0.6323
07-047,IZTAPALAPA,"EJTO CONSTITUCIONALISTA, SUPERMANZANA II ( U HAB)",0.0,Bajo,0.5472
07-048,IZTAPALAPA,"EJTO CONSTITUCIONALISTA, SUPERMANZANA III (U HAB)",0.0,Bajo,0.6473
13-034,XOCHIMILCO,RINCONADA DEL SUR (U HAB),0.0,Bajo,0.7494
13-032,XOCHIMILCO,PASEOS DEL SUR,0.0,Bajo,0.7833
07-049,IZTAPALAPA,EJTO DE OTE II (U HAB),0.0,Bajo,0.6442
13-029,XOCHIMILCO,NATIVITAS (U HAB),0.0,Bajo,0.7087
12-061,TLALPAN,ISIDRO  FABELA (AMPL),0.0,Bajo,0.6421
13-024,XOCHIMILCO,LA SANTISIMA (BARR),0.0,Bajo,0.7725
13-023,XOCHIMILCO,LA NORIA TEPEPAN,0.0,Bajo,0.7446
13-019,XOCHIMILCO,LA CEBADA,0.0,Bajo,0.7558
12-064,TLALPAN,JARDINES COAPA-BELISARIO DOMINGUEZ,0.0,Bajo,0.6154
13-016,XOCHIMILCO,JOYA DE VARGAS,0.0,Bajo,0.7857
12-071,TLALPAN,LA GUADALUPANA,0.0,Bajo,0.6588
05-187,GUSTAVO A. MADERO,TORRES DE SAN JUAN 1B (U HAB),0.0,Bajo,0.2784
05-186,GUSTAVO A. MADERO,TORRES DE SAN JUAN (U HAB),0.0,Bajo,0.2318
12-073,TLALPAN,LA LIBERTAD - IXTLAHUACA,0.0,Bajo,0.5874
07-017,IZTAPALAPA,CABEZA DE JUAREZ I (U HAB),0.0,Bajo,0.6314
05-139,GUSTAVO A. MADERO,PRADOS DE CUAUTEPEC,0.0,Bajo,0.3479
07-018,IZTAPALAPA,CABEZA DE JUAREZ II (U HAB),0.0,Bajo,0.529
07-019,IZTAPALAPA,CABEZA DE JUAREZ III (U HAB),0.0,Bajo,0.6161
05-173,GUSTAVO A. MADERO,SANTIAGO ATEPETLAC (LA SELVITA) (U HAB),0.0,Bajo,0.3444
07-024,IZTAPALAPA,CARMEN SERDAN ( U HAB),0.0,Bajo,0.5661
07-026,IZTAPALAPA,CE CUALLI OHTLI (U HAB),0.0,Bajo,0.3695
07-029,IZTAPALAPA,CHINAMPAS DE SANTA MA TOMATLAN,0.0,Bajo,0.6653
13-045,XOCHIMILCO,SAN JOSE OBRERO,0.0,Bajo,0.743
07-061,IZTAPALAPA,EL SANTUARIO (AMPL),0.0,Bajo,0.575
07-065,IZTAPALAPA,EL TRIUNFO (AMPL),0.0,Bajo,0.5741
13-041,XOCHIMILCO,SAN FRANCISCO CHIQUIMOLA,0.0,Bajo,0.724
07-067,IZTAPALAPA,EL VERGEL TRIANGULO DE LAS AGUJAS I (U HAB),0.0,Bajo,0.6317
12-040,TLALPAN,EMILIO PORTES GIL PEMEX PICACHO (U HAB),0.0,Bajo,0.6266
12-045,TLALPAN,FOVISSSTE SAN PEDRO MARTIR ( U HAB),0.0,Bajo,0.6565
12-046,TLALPAN,FRESNO,0.0,Bajo,0.6481
05-134,GUSTAVO A. MADERO,PANAMERICANA (AMPL),0.0,Bajo,0.2985
12-051,TLALPAN,GRANJAS COAPA ORIENTE,0.0,Bajo,0.6238
12-053,TLALPAN,HACIENDA SAN JUAN-RINCON DE SAN JUAN,0.0,Bajo,0.6387
12-057,TLALPAN,HUESO PERIFERICO-ISSSFAM NO. 7 (U HABS),0.0,Bajo,0.6273
12-059,TLALPAN,IGNACIO CHAVEZ (U HAB),0.0,Bajo,0.634
13-049,XOCHIMILCO,SAN LORENZO (BARR),0.0,Bajo,0.7223
07-036,IZTAPALAPA,CUITLAHUAC (U HAB),0.0,Bajo,0.529
07-039,IZTAPALAPA,DEGOLLADO CHICO,0.0,Bajo,0.6334
05-150,GUSTAVO A. MADERO,SAN ANTONIO,0.0,Bajo,0.362
07-045,IZTAPALAPA,EJTO CONSTITUCIONALISTA II ( U HAB),0.0,Bajo,0.529
05-147,GUSTAVO A. MADERO,REVOLUCION IMSS (U HAB),0.0,Bajo,0.3096
05-144,GUSTAVO A. MADERO,QUETZALCOATL 3,0.0,Bajo,0.3269
05-085,GUSTAVO A. MADERO,JAIME S EMILIANO G,0.0,Bajo,0.3596
05-084,GUSTAVO A. MADERO,INFONAVIT LORETO FABELA (U HAB),0.0,Bajo,0.2318
13-078,XOCHIMILCO,CANAL ONCE (U HAB),0.0,Bajo,0.7431
13-077,XOCHIMILCO,AZTLAN (U HAB),0.0,Bajo,0.7122
17-073,VENUSTIANO CARRANZA,CENTRO II,0.0,Bajo,0.3312
07-046,IZTAPALAPA,"EJTO CONSTITUCIONALISTA, SUPERMANZANA I ( U HAB)",0.0,Bajo,0.6237
13-074,XOCHIMILCO,XICALHUACAN,0.0,Bajo,0.7536
12-164,TLALPAN,SAUZALES CEBADALES (U HAB),0.0,Bajo,0.5284
12-027,TLALPAN,CONJUNTO URBANO CUEMANCO (U HAB),0.0,Bajo,0.6528
13-070,XOCHIMILCO,TESMIC (RDCIAL),0.0,Bajo,0.771
13-068,XOCHIMILCO,TECACALANCO,0.0,Bajo,0.7289
12-031,TLALPAN,CUILOTEPEC II,0.0,Bajo,0.6454
13-063,XOCHIMILCO,SANTA INES,0.0,Bajo,0.77
12-036,TLALPAN,EL ARENAL,0.0,Bajo,0.6439
07-072,IZTAPALAPA,ESTADO DE VERACRUZ,0.0,Bajo,0.6085
07-078,IZTAPALAPA,FUENTES DE ZARAGOZA (U HAB),0.0,Bajo,0.5923
05-069,GUSTAVO A. MADERO,GRACIANO SANCHEZ,0.0,Bajo,0.3089
14-008,BENITO JUAREZ,CENTRO URBANO PRESIDENTE ALEMAN (U HAB),0.0,Bajo,0.0708
07-079,IZTAPALAPA,FUERTE DE LORETO - LA ANTENA (U HAB),0.0,Bajo,0.572
17-086,VENUSTIANO CARRANZA,PENSADOR MEXICANO II,0.0,Bajo,0.2993
13-085,XOCHIMILCO,LA NORIA TEPEPAN (U HAB),0.0,Bajo,0.7518
13-084,XOCHIMILCO,BOSQUE RESIDENCIAL DEL SUR (U HAB),0.0,Bajo,0.7621
13-083,XOCHIMILCO,VILLA XOCHIMILCO (U HAB),0.0,Bajo,0.7684
13-082,XOCHIMILCO,NUEVA TENOCHTITLAN (U HAB),0.0,Bajo,0.6429
13-080,XOCHIMILCO,INFONAVIT PROLONGACION DIVISION DEL NORTE (U HAB),0.0,Bajo,0.7663
13-079,XOCHIMILCO,LORETO PEÑA POBRE (U HAB),0.0,Bajo,0.7452
05-099,GUSTAVO A. MADERO,LA FORESTAL 1,0.0,Bajo,0.3364
02-012,AZCAPOTZALCO,CRUZ ROJA TEPANTONGO (U HAB),0.0,Bajo,0.2219
07-080,IZTAPALAPA,GAMA GAVILAN (U HAB),0.0,Bajo,0.554
05-090,GUSTAVO A. MADERO,JUAN DE DIOS BATIZ (U HAB),0.0,Bajo,0.2963
02-016,AZCAPOTZALCO,DEL GAS (AMPL),0.0,Bajo,0.1973
07-081,IZTAPALAPA,GAVILAN (U HAB),0.0,Bajo,0.4689
07-084,IZTAPALAPA,GRANJAS ESTRELLA II,0.0,Bajo,0.6067
07-085,IZTAPALAPA,GRANJAS ESTRELLA III,0.0,Bajo,0.5426
07-055,IZTAPALAPA,EL MOLINO_,0.0,Bajo,0.5878
12-010,TLALPAN,ATOCPA SUR,0.0,Bajo,0.6466
12-011,TLALPAN,"AYOCATITLA,  ASUNCIÓN",0.0,Bajo,0.6316
05-062,GUSTAVO A. MADERO,FOVISSSTE RIO DE GUADALUPE (U HAB),0.0,Bajo,0.2972
05-061,GUSTAVO A. MADERO,FOVISSSTE CUCHILLA (U HAB),0.0,Bajo,0.3031
05-057,GUSTAVO A. MADERO,FOVISSSTE ARAGON (U HAB),0.0,Bajo,0.5031
12-014,TLALPAN,BOSQUES DE TEPEXIMILPA,0.0,Bajo,0.6833
05-053,GUSTAVO A. MADERO,EMILIANO ZAPATA (AMPL),0.0,Bajo,0.2831
02-019,AZCAPOTZALCO,DEMET (U HAB),0.0,Bajo,0.221
05-082,GUSTAVO A. MADERO,INFONAVIT (U HAB),0.0,Bajo,0.2853
12-017,TLALPAN,CALVARIO CAMISETAS,0.0,Bajo,0.6555
05-079,GUSTAVO A. MADERO,HORNOS DE ARAGON (U HAB),0.0,Bajo,0.3213
07-089,IZTAPALAPA,GUELATAO DE JUAREZ I (U HAB),0.0,Bajo,0.529
02-020,AZCAPOTZALCO,ECOLOGICA NOVEDADES IMPACTO (U HAB),0.0,Bajo,0.2447
07-092,IZTAPALAPA,HUASIPUNGO (U HAB),0.0,Bajo,0.3161
12-137,TLALPAN,REAL DEL SUR-VILLAS DEL SUR-RESIDENCIAL ACOXPA,0.0,Bajo,0.6531
07-093,IZTAPALAPA,HUITZICO-LA POBLANITA,0.0,Bajo,0.6493
07-094,IZTAPALAPA,IGNACIO ZARAGOZA (U HAB),0.0,Bajo,0.5906
07-101,IZTAPALAPA,JOSE MA MORELOS Y PAVON (U HAB),0.0,Bajo,0.6446
02-024,AZCAPOTZALCO,EL ROSARIO B (U HAB),0.0,Bajo,0.2541
11-049,TLAHUAC,TEZONTITLA-ZOMPANTITLA,0.0,Bajo,0.62
02-025,AZCAPOTZALCO,EL ROSARIO C (U HAB),0.0,Bajo,0.2803
04-060,CUAJIMALPA DE MORELOS,PUERTO LAS CRUCES,0.0,Bajo,0.454
11-051,TLAHUAC,TIERRA Y LIBERTAD,0.0,Bajo,0.6498
05-030,GUSTAVO A. MADERO,COOPERATIVA LUIS ENRIQUE RODRÍGUEZ OROZCO (U HAB),0.0,Bajo,0.2318
05-027,GUSTAVO A. MADERO,COCOYOTES (AMPL),0.0,Bajo,0.3411
05-022,GUSTAVO A. MADERO,CASTILLO GRANDE (AMPL),0.0,Bajo,0.2318
05-015,GUSTAVO A. MADERO,C T M ARAGON AMPLIACION (U),0.0,Bajo,0.5436
11-053,TLAHUAC,VILLAS DE LOS TRABAJADORES (GDF) (U HAB),0.0,Bajo,0.5704
10-020,ALVARO OBREGON,ATLAMAXAC,0.0,Bajo,0.6368
11-054,TLAHUAC,3 DE MAYO,0.0,Bajo,0.6963
02-031,AZCAPOTZALCO,FUENTES DE AZCAPOTZALCO-PARQUES DE AZCAPOTZALCO (U HAB),0.0,Bajo,0.2249
04-014,CUAJIMALPA DE MORELOS,EBANO (U HAB),0.0,Bajo,0.5637
14-062,BENITO JUAREZ,NARVARTE III,0.0,Bajo,0.1199
14-061,BENITO JUAREZ,NARVARTE II,0.0,Bajo,0.1026
14-059,BENITO JUAREZ,DEL VALLE VII,0.0,Bajo,0.1152
14-058,BENITO JUAREZ,DEL VALLE VI,0.0,Bajo,0.1019
14-057,BENITO JUAREZ,DEL VALLE V,0.0,Bajo,0.1246
14-056,BENITO JUAREZ,DEL VALLE IV,0.0,Bajo,0.111
14-055,BENITO JUAREZ,DEL VALLE III,0.0,Bajo,0.1084
14-054,BENITO JUAREZ,DEL VALLE II,0.0,Bajo,0.1191
14-052,BENITO JUAREZ,ALAMOS II,0.0,Bajo,0.0908
04-054,CUAJIMALPA DE MORELOS,1o DE MAYO,0.0,Bajo,0.5754
02-029,AZCAPOTZALCO,FERRERIA (U HAB),0.0,Bajo,0.1499
03-169,COYOACAN,SANTA CECILIA II,0.0,Bajo,0.4684
03-168,COYOACAN,PRADOS DE COYOACAN 2,0.0,Bajo,0.3972
03-167,COYOACAN,MONTE DE PIEDAD II,0.0,Bajo,0.505
03-165,COYOACAN,INVI PRESIDENTES EJIDALES (U HAB),0.0,Bajo,0.3972
03-164,COYOACAN,FOVISSSTE UNIVERSIDAD,0.0,Bajo,0.5019
03-163,COYOACAN,EL CARACOL BAJO,0.0,Bajo,0.5375
15-003,CUAUHTEMOC,ASTURIAS (AMPL),0.0,Bajo,0.2237
14-069,BENITO JUAREZ,PORTALES IV,0.0,Bajo,0.277
14-068,BENITO JUAREZ,PORTALES III,0.0,Bajo,0.2559
14-067,BENITO JUAREZ,PORTALES II,0.0,Bajo,0.2545
14-065,BENITO JUAREZ,NARVARTE VI,0.0,Bajo,0.1435
14-064,BENITO JUAREZ,NARVARTE V,0.0,Bajo,0.134
14-063,BENITO JUAREZ,NARVARTE IV,0.0,Bajo,0.111
04-027,CUAJIMALPA DE MORELOS,TEXCALCO,0.0,Bajo,0.5486
11-060,TLAHUAC,CUITLAHUAC,0.0,Bajo,0.658
04-025,CUAJIMALPA DE MORELOS,LA VENTA,0.0,Bajo,0.5594
15-047,CUAUHTEMOC,DOCTORES III,0.0,Bajo,0.2232
15-046,CUAUHTEMOC,DOCTORES II,0.0,Bajo,0.23
15-044,CUAUHTEMOC,CENTRO VIII,0.0,Bajo,0.2101
15-043,CUAUHTEMOC,CENTRO VII,0.0,Bajo,0.1902
15-042,CUAUHTEMOC,CENTRO VI,0.0,Bajo,0.2371
15-041,CUAUHTEMOC,CENTRO V,0.0,Bajo,0.1999
15-040,CUAUHTEMOC,CENTRO IV,0.0,Bajo,0.2113
15-039,CUAUHTEMOC,CENTRO III,0.0,Bajo,0.1872
15-038,CUAUHTEMOC,CENTRO II,0.0,Bajo,0.194
15-036,CUAUHTEMOC,BUENAVISTA II,0.0,Bajo,0.2127
15-028,CUAUHTEMOC,SANTA MARIA (U HAB),0.0,Bajo,0.1254
04-008,CUAJIMALPA DE MORELOS,COLA DE PATO,0.0,Bajo,0.5548
04-005,CUAJIMALPA DE MORELOS,AMADO NERVO,0.0,Bajo,0.618
07-105,IZTAPALAPA,LA COLMENA (U HAB),0.0,Bajo,0.5979
12-152,TLALPAN,SN JUAN  TEPEXIMILPA (AMPL),0.0,Bajo,0.6872
03-170,COYOACAN,VILLAS DE COYOACAN (CONDOMINIO),0.0,Bajo,0.4964
15-067,CUAUHTEMOC,PERALVILLO II,0.0,Bajo,0.216
15-066,CUAUHTEMOC,PERALVILLO I,0.0,Bajo,0.2345
15-065,CUAUHTEMOC,OBRERA IV,0.0,Bajo,0.1962
15-064,CUAUHTEMOC,OBRERA III,0.0,Bajo,0.2097
15-063,CUAUHTEMOC,OBRERA II,0.0,Bajo,0.2166
07-109,IZTAPALAPA,LA JOYA,0.0,Bajo,0.5792
07-110,IZTAPALAPA,LA JOYITA,0.0,Bajo,0.529
15-058,CUAUHTEMOC,MORELOS III,0.0,Bajo,0.2417
15-057,CUAUHTEMOC,MORELOS II,0.0,Bajo,0.2003
15-055,CUAUHTEMOC,HIPODROMO II,0.0,Bajo,0.2317
15-054,CUAUHTEMOC,HIPODROMO I,0.0,Bajo,0.2175
15-053,CUAUHTEMOC,GUERRERO IV,0.0,Bajo,0.2341
15-052,CUAUHTEMOC,GUERRERO III,0.0,Bajo,0.209
15-051,CUAUHTEMOC,GUERRERO II,0.0,Bajo,0.179
15-049,CUAUHTEMOC,DOCTORES V,0.0,Bajo,0.2003
15-048,CUAUHTEMOC,DOCTORES IV,0.0,Bajo,0.2561
03-161,COYOACAN,COPILCO UNIVERSIDAD II,0.0,Bajo,0.5459
03-160,COYOACAN,CAFETALES III (RDCIAL),0.0,Bajo,0.5378
03-159,COYOACAN,ROMERO DE TERREROS (COND),0.0,Bajo,0.5341
03-158,COYOACAN,EX EJIDO SAN FRANCISCO CULHUACAN III,0.0,Bajo,0.394
03-157,COYOACAN,EX EJIDO SAN FRANCISCO CULHUACAN II,0.0,Bajo,0.5339
03-155,COYOACAN,CENTRO URBANO (U HAB),0.0,Bajo,0.549
03-154,COYOACAN,ACASULCO UNIVERSIDAD,0.0,Bajo,0.5507
03-153,COYOACAN,TAXQUEÑA,0.0,Bajo,0.4434
12-143,TLALPAN,RINCONADA (U HAB),0.0,Bajo,0.6365
03-151,COYOACAN,MONTE DE PIEDAD I,0.0,Bajo,0.546
03-150,COYOACAN,EX EJIDO DE CHURUBUSCO,0.0,Bajo,0.3278
03-149,COYOACAN,EL ROSEDAL II,0.0,Bajo,0.4784
07-111,IZTAPALAPA,LA MAGUEYERA,0.0,Bajo,0.5721
07-115,IZTAPALAPA,POLVORILLA (AMPL),0.0,Bajo,0.6213
15-070,CUAUHTEMOC,ROMA NORTE III,0.0,Bajo,0.2192
15-069,CUAUHTEMOC,ROMA NORTE II,0.0,Bajo,0.2471
07-116,IZTAPALAPA,LA REGADERA,0.0,Bajo,0.6679
07-117,IZTAPALAPA,LAS AMERICAS (U HAB),0.0,Bajo,0.5941
07-148,IZTAPALAPA,NA HAL TI (U HAB),0.0,Bajo,0.3161
07-149,IZTAPALAPA,NORMA ISSSTE (U HAB),0.0,Bajo,0.5287
03-134,COYOACAN,PASEOS DE TAXQUEÑA II,0.0,Bajo,0.4178
07-153,IZTAPALAPA,PARAISO (AMPL),0.0,Bajo,0.529
11-039,TLAHUAC,SANTA CATARINA (AMPL),0.0,Bajo,0.6924
16-008,MIGUEL HIDALGO,ANAHUAC LAGO SUR,0.0,Bajo,0.2194
16-007,MIGUEL HIDALGO,ANAHUAC LAGO NORTE,0.0,Bajo,0.2325
16-006,MIGUEL HIDALGO,ANAHUAC DOS LAGOS,0.0,Bajo,0.2005
16-004,MIGUEL HIDALGO,TORRE BLANCA (AMPL),0.0,Bajo,0.1619
07-127,IZTAPALAPA,LOMAS ESTRELLA  III (U HAB),0.0,Bajo,0.6686
15-078,CUAUHTEMOC,SANTA MARIA LA RIBERA IV,0.0,Bajo,0.2304
15-076,CUAUHTEMOC,SANTA MARIA LA RIBERA II,0.0,Bajo,0.231
15-074,CUAUHTEMOC,SAN RAFAEL II,0.0,Bajo,0.2511
15-072,CUAUHTEMOC,ROMA SUR II,0.0,Bajo,0.2379
03-123,COYOACAN,VILLAS DEL PEDREGAL (U HAB),0.0,Bajo,0.5442
07-128,IZTAPALAPA,LOMAS ESTRELLA 1A SECC (FRACC),0.0,Bajo,0.5928
03-120,COYOACAN,VILLA PANAMERICANA 6TA. SECCIÓN (U HAB),0.0,Bajo,0.5336
17-051,VENUSTIANO CARRANZA,PRIMERO DE MAYO,0.0,Bajo,0.2722
03-118,COYOACAN,VILLA PANAMERICANA 4TA. SECCIÓN (U HAB),0.0,Bajo,0.5261
07-136,IZTAPALAPA,M MAZA DE JUAREZ (U HAB),0.0,Bajo,0.5626
03-116,COYOACAN,VILLA PANAMERICANA 2DA. SECCIÓN (U HAB),0.0,Bajo,0.5421
16-025,MIGUEL HIDALGO,DANIEL GARZA (AMPL),0.0,Bajo,0.1823
16-012,MIGUEL HIDALGO,ANGEL ZIMBRON,0.0,Bajo,0.1932
17-049,VENUSTIANO CARRANZA,PINO (U HAB),0.0,Bajo,0.4875
11-047,TLAHUAC,TEOZOMA,0.0,Bajo,0.6588
03-145,COYOACAN,PEDREGAL DE STO DOMINGO VII,0.0,Bajo,0.4877
11-048,TLAHUAC,TEPANTITLAMILCO,0.0,Bajo,0.6766
03-143,COYOACAN,PEDREGAL DE STO DOMINGO V,0.0,Bajo,0.4913
03-142,COYOACAN,PEDREGAL DE STO DOMINGO IV,0.0,Bajo,0.5232
07-159,IZTAPALAPA,PLENITUD (U HAB),0.0,Bajo,0.5661
17-041,VENUSTIANO CARRANZA,MIGUEL HIDALGO,0.0,Bajo,0.3238
03-087,COYOACAN,PEDREGAL DE LA ZORRA,0.0,Bajo,0.53
03-081,COYOACAN,MEDIA LUNA,0.0,Bajo,0.5108
16-044,MIGUEL HIDALGO,LOMAS DE REFORMA (LOMAS DE CHAPULTEPEC),0.0,Bajo,0.2188
16-040,MIGUEL HIDALGO,LOMAS DE BARRILACO (LOMAS DE CHAPULTEPEC),0.0,Bajo,0.181
16-037,MIGUEL HIDALGO,LEGARIA (U HAB),0.0,Bajo,0.086
16-034,MIGUEL HIDALGO,IGNACIO MANUEL ALTAMIRANO,0.0,Bajo,0.2034
16-033,MIGUEL HIDALGO,HUICHAPAN,0.0,Bajo,0.1993
16-032,MIGUEL HIDALGO,GRANADA (AMPL),0.0,Bajo,0.1449
07-160,IZTAPALAPA,PLUTARCO ELIAS CALLES (U HAB),0.0,Bajo,0.643
03-108,COYOACAN,SANTA MARTHA DEL SUR,0.0,Bajo,0.3982
03-102,COYOACAN,AMPLIACION SAN FRANCISCO CULHUACAN (EJ),0.0,Bajo,0.4378
03-099,COYOACAN,ROMERO DE TERREROS (FRACC),0.0,Bajo,0.5332
07-163,IZTAPALAPA,PRIVADA GAVILAN (U HAB),0.0,Bajo,0.4689
17-040,VENUSTIANO CARRANZA,MICHOACANA (AMPL),0.0,Bajo,0.2695
02-057,AZCAPOTZALCO,PATRIMONIO FAMILIAR,0.0,Bajo,0.2843
07-168,IZTAPALAPA,PURISIMA I,0.0,Bajo,0.6553
03-070,COYOACAN,LAS TROJES COAPA (U HAB),0.0,Bajo,0.3972
11-013,TLAHUAC,JARDINES DEL LLANO-U.H. VILLA TLATEMPA,0.0,Bajo,0.6658
03-068,COYOACAN,LAS CABAÑAS,0.0,Bajo,0.5022
03-067,COYOACAN,LA VIRGEN 1170 (U HAB),0.0,Bajo,0.3278
02-055,AZCAPOTZALCO,PANTACO (U HAB),0.0,Bajo,0.1499
03-064,COYOACAN,LA CANTERA (U HAB),0.0,Bajo,0.5078
11-017,TLAHUAC,LA JOYITA,0.0,Bajo,0.7028
02-053,AZCAPOTZALCO,NUEVO SAN RAFAEL (BARR),0.0,Bajo,0.2831
16-056,MIGUEL HIDALGO,NEXTITLA,0.0,Bajo,0.2232
16-051,MIGUEL HIDALGO,MILITAR 1 K LOMAS DE SOTELO (U HAB),0.0,Bajo,0.1899
11-028,TLAHUAC,PARAISO SANTA CATARINA,0.0,Bajo,0.5566
16-049,MIGUEL HIDALGO,MARINA NACIONAL (U HAB),0.0,Bajo,0.086
16-048,MIGUEL HIDALGO,MANUEL AVILA CAMACHO,0.0,Bajo,0.2842
07-140,IZTAPALAPA,MINAS POLVORILLA (U HAB) I,0.0,Bajo,0.3548
02-047,AZCAPOTZALCO,MIGUEL HIDALGO (U HAB),0.0,Bajo,0.2662
07-142,IZTAPALAPA,MIRASOLES (U HAB),0.0,Bajo,0.6289
07-147,IZTAPALAPA,MOYOCOYANI (U HAB),0.0,Bajo,0.3936
10-257,ALVARO OBREGON,PREDIO LA ANGOSTURA,0.0,Bajo,0.5863
03-049,COYOACAN,EMILIANO ZAPATA (U HAB),0.0,Bajo,0.4482
03-047,COYOACAN,EL VERGEL DE COYOACAN ( INFONAVIT EL HUESO) (U HAB),0.0,Bajo,0.5193
