consulta,match,score,decision,cve_alcaldia
VID,PROVIDENCIA,42,no_match,002
AVENIDA ANTONIO VALERIANO,SAN ANTONIO (FRACC),54,no_match,002
EMILIO CARRANZA,ARENAL,47,no_match,002
TEZONAPA,SAN MATEO,47,no_match,002
AVENIDA HIDALGO,MIGUEL HIDALGO (U HAB),63,no_match,002
TEAPAN,SAN MATEO,53,no_match,002
CALLE CASTILLA ORIENTE,MONTE ALTO,50,no_match,002
CALLE DURAZNOS,ALDANA,50,no_match,002
LAMINADORES,LAS SALINAS,54,no_match,002
AVENIDA HACIENDA DE NARVARTE,EX-HACIENDA EL ROSARIO,60,no_match,002
3A. CERRADA DE REFINERIA SALAMANCA,SANTA CRUZ DE LAS SALINAS,50,no_match,002
MEZQUITE,EUZKADI,40,no_match,002
1A. CERRADA AMANTECATL,TIERRA NUEVA,47,no_match,002
AHUEHUETES,PASTEROS,44,no_match,002
PLANETAS,ALDANA,57,no_match,002
CAMPO BELLO,POTRERO DEL LLANO,50,no_match,002
CALLE JUAREZ,IGNACIO ALLENDE,44,no_match,002
CERRADA DE LAS GRANJAS,SANTA CRUZ DE LAS SALINAS,63,no_match,002
CALLE 27,AGUILERA,37,no_match,002
BOCANEGRA,CLAVERIA,58,no_match,002
AVENIDA DE LAS GRANJAS,SANTA CRUZ DE LAS SALINAS,59,no_match,002
AVENIDA REAL DE SAN MARTIN,SAN MARTIN XOCHINAHUAC (PBLO),55,no_match,002
AVENIDA JARDIN,JARDIN AZPEITIA,75,candidato,002
BRECEDA MERCADO,EX-HACIENDA EL ROSARIO,48,no_match,002
CALLE NUBIA,IGNACIO ALLENDE,53,no_match,002
3A. CERRADA AMANTECATL,TIERRA NUEVA,47,no_match,002
CALLE ROMAN ALVAREZ MORENO,SAN SALVADOR XOCHIMANCA,53,no_match,002
CALLE TEPANECOS,LA PRECIOSA,53,no_match,002
TEJOCOTE,MONTE ALTO,55,no_match,002
CALLE PLATANALES,ALDANA,45,no_match,002
CERRADA CEYLAN,JARDINES CEYLAN (U HAB),60,no_match,002
REFINERIA 18 DE MARZO,PRESIDENTE MADERO (U HAB),52,no_match,002
CALLE RAFAEL ALDUCIN,SAN RAFAEL,75,candidato,002
FEDERICO DAVALOS,SECTOR NAVAL,57,no_match,002
CALLEJON SAN PEDRO,SAN PEDRO XALPA (PBLO),66,no_match,002
CALLE DURANGO,ALDANA,52,no_match,002
NORTE 73,MONTE ALTO,44,no_match,002
TERCERA CERRADA SAN ISIDRO,SANTA CRUZ DE LAS SALINAS,50,no_match,002
CALLE ARAGON,ARENAL,55,no_match,002
CERRADA ALAMITO,LA RAZA,54,no_match,002
NUECES,TIERRA NUEVA,44,no_match,002
CAMPO EL MEXICANO,SINDICATO MEXICANO DE ELECTRICISTAS,64,no_match,002
COOK,COLTONGO,50,no_match,002
CERRADA DE FRESNOS,CENTRO DE AZCAPOTZALCO,50,no_match,002
FRESNOS,SAN RAFAEL,47,no_match,002
1860,CUITLAHUAC 1 Y 2 (U HAB),7,no_match,002
100,CUITLAHUAC 1 Y 2 (U HAB),7,no_match,002
AVENIDA CEYLAN,JARDINES CEYLAN (U HAB),60,no_match,002
PLUMBAGO,LIBERACION,44,no_match,002
TEJOCOTE SUR,MONTE ALTO,45,no_match,002
IZCALPAN,ALDANA,57,no_match,002
AVENIDA ENCARNACION ORTIZ,IGNACIO ALLENDE,50,no_match,002
ENRIQUE ANORVE,PORVENIR,54,no_match,002
GASODUCTO,SECTOR NAVAL,47,no_match,002
MIMOSAS,SAN MATEO,50,no_match,002
CAMPO SARLAT,COSMOPOLITA,52,no_match,002
CALLE ITACA,IGNACIO ALLENDE,61,no_match,002
5 DE FEBRERO,DEL RECREO,63,no_match,002
PRIVADA TULA,NUEVA ESPANA,50,no_match,002
NORTE 81,MONTE ALTO,44,no_match,002
NORTE 65,MONTE ALTO,44,no_match,002
AVENIDA CENTENARIO,IGNACIO ALLENDE,54,no_match,002
EJE 3 NORTE CAMARONES,PRESIDENTE MADERO (U HAB),52,no_match,002
AVENIDA REFINERIA AZCAPOTZALCO,CENTRO DE AZCAPOTZALCO,70,candidato,002
CALLE ANDALUCIA,INDUSTRIAL VALLEJO (U HAB),53,no_match,002
AVENIDA MIGUEL HIDALGO,MIGUEL HIDALGO (U HAB),77,candidato,002
GENERAL JOAQUIN AMARO,NUEVA SANTA MARIA,52,no_match,002
OSA MAYOR,SAN MATEO,66,no_match,002
AVENIDA DE LAS CULTURAS,VICTORIA DE LAS DEMOCRACIAS,60,no_match,002
CALLE CAIRO,SAN ALVARO,47,no_match,002
ESTACION PANTACO,EL JAGUEY-ESTACION PANTACO,76,candidato,002
COBRE DE MEXICO,DEL RECREO,48,no_match,002
LA ESCUADRA,LA RAZA,55,no_match,002
UNIDAD HABITACIONAL,XOCHINAHUAC (U HAB),47,no_match,002
10 DE ABRIL,INDUSTRIAL VALLEJO (U HAB),43,no_match,002
PINO,LA PRECIOSA,40,no_match,002
CALLE CORCEGA,IGNACIO ALLENDE,50,no_match,002
PONIENTE 116,MONTE ALTO,45,no_match,002
CALLE SAN MARCOS,SAN MARCOS (BARR),76,candidato,002
NORTE 81-A,MONTE ALTO,50,no_match,002
ALCANFORES,ALDANA,50,no_match,002
CAMPO SAN PEDRITO,SAN PEDRO XALPA (AMPL) I,63,no_match,002
