municipio,localidad,nombre,proceso,"capacidad_instalada
(l/s)","caudal_potabilizado
(l/s)",responsable_de_la_operación_de_la_planta,cve_alcaldia,id_planta,latitud,longitud,origen_coords
Iztapalapa,Iztapalapa,Parque Las Antenas,Filtración directa,30.0,22.0,"Secretaría de Gestión Integral del Agua
(SEGIAGUA)",007,PLANTA_029,19.348835,-99.065508,centroide_alcaldia
Iztapalapa,Iztapalapa 2,Agrícola Oriental,Ósmosis inversa,240.0,200.0,"Secretaría de Gestión Integral del Agua
(SEGIAGUA)",007,PLANTA_030,19.348835,-99.065508,centroide_alcaldia
"La Magdalena
Contreras",La Magdalena Contreras,Río Magdalena,Filtración directa,210.0,210.0,"Secretaría de Gestión Integral del Agua
(SEGIAGUA)",,PLANTA_031,,,centroide_alcaldia
"La Magdalena
Contreras",La Magdalena Contreras,Río Magdalena 2,Filtración directa,200.0,150.0,"Secretaría de Gestión Integral del Agua
(SEGIAGUA)",,PLANTA_032,,,centroide_alcaldia
Tláhuac,Tláhuac,Santa Catarina,Ósmosis inversa,500.0,120.0,"Secretaría de Gestión Integral del Agua
(SEGIAGUA)",011,PLANTA_033,19.287578,-99.007749,centroide_alcaldia
Tláhuac,Tláhuac,Santa Catarina 4,Ósmosis inversa,60.0,50.0,"Secretaría de Gestión Integral del Agua
(SEGIAGUA)",011,PLANTA_034,19.287578,-99.007749,centroide_alcaldia
Tláhuac,Tláhuac,"Acueducto Tláhuac-La
Caldera",Ósmosis inversa,40.0,30.0,"Secretaría de Gestión Integral del Agua
(SEGIAGUA)",011,PLANTA_035,19.287578,-99.007749,centroide_alcaldia
Tláhuac,Tláhuac,Tecomitl 18,Ósmosis inversa,50.0,43.0,"Secretaría de Gestión Integral del Agua
(SEGIAGUA)",011,PLANTA_036,19.287578,-99.007749,centroide_alcaldia
Venustiano Carranza,Venustiano Carranza,Balbuena 2,Filtración directa,40.0,13.0,"Secretaría de Gestión Integral del Agua
(SEGIAGUA)",017,PLANTA_037,19.4287195,-99.106626,centroide_alcaldia
Venustiano Carranza,Venustiano Carranza,Peñón de Los Baños,Ósmosis inversa,50.0,50.0,"Secretaría de Gestión Integral del Agua
(SEGIAGUA)",017,PLANTA_038,19.4287195,-99.106626,centroide_alcaldia
Venustiano Carranza,Venustiano Carranza,Santa Anita,Filtración directa,40.0,36.0,"Secretaría de Gestión Integral del Agua
(SEGIAGUA)",017,PLANTA_039,19.4287195,-99.106626,centroide_alcaldia
Xochimilco,Xochimilco,Escudo Nacional 2,Filtración directa,40.0,40.0,"Secretaría de Gestión Integral del Agua
(SEGIAGUA)",013,PLANTA_040,19.257876,-99.108358,centroide_alcaldia
Xochimilco,Xochimilco,S-13,Adsorción,40.0,40.0,"Secretaría de Gestión Integral del Agua
(SEGIAGUA)",013,PLANTA_041,19.257876,-99.108358,centroide_alcaldia
Xochimilco,Xochimilco,Cerillos 2,Filtración directa,40.0,40.0,"Secretaría de Gestión Integral del Agua
(SEGIAGUA)",013,PLANTA_042,19.257876,-99.108358,centroide_alcaldia
Xochimilco,Xochimilco,Cerillos 3,Filtración directa,40.0,40.0,"Secretaría de Gestión Integral del Agua
(SEGIAGUA)",013,PLANTA_043,19.257876,-99.108358,centroide_alcaldia
Xochimilco,Xochimilco,R-11,Filtración directa,40.0,40.0,"Secretaría de Gestión Integral del Agua
(SEGIAGUA)",013,PLANTA_044,19.257876,-99.108358,centroide_alcaldia
